scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
60389,2058,2019,2059,2040,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60459,2073,2024,2076,2045,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60533,2088,2028,2092,2049,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60603,2102,2033,2106,2053,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
60674,2118,2037,2123,2058,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
60744,2132,2043,2138,2061,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
60815,2149,2048,2153,2064,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
60885,2167,2054,2171,2068,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
60957,2183,2060,2188,2071,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
61027,2200,2064,2202,2073,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
61098,2215,2070,2215,2074,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
61168,2230,2074,2229,2074,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
61239,2249,2079,2244,2075,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
61310,2263,2084,2257,2074,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
61381,2278,2087,2267,2073,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
61452,2292,2090,2276,2073,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63
61522,2305,2094,2284,2070,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
61598,2315,2096,2291,2068,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67
61663,2328,2100,2298,2066,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69
61734,2336,2101,2302,2062,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70
61805,2345,2104,2305,2060,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72
61876,2351,2105,2308,2058,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
61946,2358,2106,2310,2055,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75
62017,2363,2106,2312,2052,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77
62087,2368,2107,2313,2049,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78
62158,2371,2107,2313,2046,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79
62229,2372,2107,2311,2044,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81
62299,2372,2107,2309,2042,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82
62370,2371,2106,2306,2041,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
62440,2368,2105,2303,2039,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
62511,2362,2103,2298,2038,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
62583,2357,2100,2293,2036,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
62658,2349,2098,2286,2036,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
62724,2337,2095,2275,2036,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
62795,2326,2091,2268,2038,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
62865,2311,2088,2255,2039,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
62936,2295,2083,2243,2040,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
63007,2275,2078,2228,2043,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
63078,2247,2071,2207,2045,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
63149,2222,2065,2188,2049,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
63220,2191,2058,2165,2051,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82
63291,2159,2050,2141,2053,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
63362,2122,2040,2113,2055,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77
63432,2075,2027,2075,2055,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
63504,2034,2015,2039,2051,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
63574,1996,2005,2006,2045,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70
63645,1960,1995,1973,2041,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
63721,1929,1985,1947,2037,0,3,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
63780,1898,1975,1918,2031,0,1,951,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,2002,2278,1963,2242,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,2012,2342,1961,2323,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,2017,2382,1959,2376,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,2024,2418,1957,2427,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,2030,2452,1955,2476,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2034,2484,1954,2524,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,2039,2512,1952,2569,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2143,2046,2543,1950,2617,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,2050,2566,1949,2655,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292,2055,2585,1948,2686,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,2058,2600,1948,2714,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,2061,2612,1947,2736,0,2,194,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
