scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
21546,2157,2054,2052,2045,0,3,938,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21622,2231,2067,2088,2068,0,3,938,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21696,2276,2074,2112,2080,0,3,938,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
21767,2317,2081,2136,2094,0,3,938,135,1,3,734,700,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21835,2363,2090,2166,2113,0,3,938,134,1,3,734,700,0,0,0,0,0,0,0,0,0,0,0,0,0,28
21909,2407,2098,2195,2128,0,3,938,134,1,3,734,700,0,0,0,0,0,0,0,0,0,0,0,0,0,35
21980,2455,2104,2226,2141,0,3,938,135,1,3,734,699,0,0,0,0,0,0,0,0,0,0,0,0,0,42
22047,2504,2114,2260,2152,0,3,938,136,1,3,736,697,0,0,0,0,0,0,0,0,0,0,0,0,0,49
22126,2547,2121,2294,2161,0,3,938,140,1,3,741,692,0,0,0,0,0,0,0,0,0,0,0,0,0,54
22189,2589,2132,2333,2168,0,3,938,145,1,3,748,685,0,0,0,0,0,0,0,0,0,0,0,0,0,58
22263,2615,2140,2364,2172,0,3,938,153,1,3,758,674,0,0,0,0,0,0,0,0,0,0,0,0,0,60
22330,2631,2148,2395,2173,0,3,937,164,1,3,769,662,0,0,0,0,0,0,0,0,0,0,0,0,1,129
22401,2639,2156,2421,2174,0,3,934,176,1,3,778,652,0,0,0,0,0,0,0,0,0,0,0,0,1,179
22471,2643,2164,2446,2171,0,3,931,189,1,3,783,646,0,0,0,0,0,0,0,0,0,0,0,0,1,101
22546,2635,2172,2470,2166,0,3,927,203,1,3,789,639,0,0,0,0,0,0,0,0,0,0,0,0,1,134
22613,2622,2177,2485,2160,0,3,923,216,1,3,796,631,0,0,0,0,0,0,0,0,0,0,0,0,1,132
22693,2600,2180,2494,2154,0,3,920,228,1,3,807,618,0,0,0,0,0,0,0,0,0,0,0,0,1,132
22757,2575,2181,2497,2149,0,3,916,240,1,3,825,596,0,0,0,0,0,0,0,0,0,0,0,0,1,101
22827,2547,2181,2497,2143,0,3,912,258,1,3,842,571,0,0,0,0,0,0,0,0,0,0,0,0,1,121
22900,2507,2176,2483,2136,0,3,910,264,1,3,849,554,0,0,0,0,0,0,0,0,0,0,0,0,1,102
22969,2464,2171,2463,2130,0,3,910,267,1,3,858,538,0,0,0,0,0,0,0,0,0,0,0,0,1,131
23040,2418,2163,2431,2123,0,3,909,270,1,3,863,529,0,0,0,0,0,0,0,0,0,0,0,0,1,104
23110,2364,2154,2391,2114,0,3,909,272,1,3,864,523,0,0,0,0,0,0,0,0,0,0,0,0,1,141
23181,2306,2141,2341,2105,0,3,909,274,1,3,862,515,0,0,0,0,0,0,0,0,0,0,0,0,1,148
23252,2229,2120,2275,2089,0,3,909,276,1,3,862,512,0,0,0,0,0,0,0,0,0,0,0,0,1,134
23323,2163,2100,2215,2074,0,3,910,279,1,3,862,511,0,0,0,0,0,0,0,0,0,0,0,0,1,170
23394,2101,2082,2162,2060,0,3,910,283,1,3,861,505,0,0,0,0,0,0,0,0,0,0,0,0,1,160
23463,2046,2066,2114,2047,0,3,910,287,1,3,861,490,0,0,0,0,0,0,0,0,0,0,0,0,1,170
23525,1997,2051,2070,2037,0,1,910,287,1,3,867,469,0,0,0,0,0,0,0,0,0,0,0,0,1,180
23594,1947,2035,2024,2025,1,1,867,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44577,2050,2058,2057,2099,0,3,427,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
44653,2059,2080,2070,2154,0,3,427,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
44727,2064,2094,2078,2188,0,3,427,704,1,3,534,30,0,0,0,0,0,0,0,0,0,0,0,0,0,17
44799,2070,2108,2085,2221,0,3,427,704,1,3,534,30,0,0,0,0,0,0,0,0,0,0,0,0,0,25
44877,2076,2124,2092,2257,0,3,427,704,1,3,534,30,0,0,0,0,0,0,0,0,0,0,0,0,0,33
44937,2083,2139,2099,2294,0,3,427,702,1,3,534,30,0,0,0,0,0,0,0,0,0,0,0,0,0,43
45011,2091,2158,2108,2340,0,3,428,699,1,3,534,31,0,0,0,0,0,0,0,0,0,0,0,0,0,54
45082,2098,2177,2115,2377,0,3,429,696,1,3,534,33,0,0,0,0,0,0,0,0,0,0,0,0,1,68
45154,2106,2196,2121,2411,0,3,432,691,1,3,534,37,0,0,0,0,0,0,0,0,0,0,0,0,1,74
45229,2116,2213,2125,2440,0,3,437,682,1,3,536,42,0,0,0,0,0,0,0,0,0,0,0,0,1,79
45291,2122,2230,2131,2464,0,3,444,667,1,3,537,49,0,0,0,0,0,0,0,0,0,0,0,0,1,150
45361,2127,2248,2135,2481,0,3,450,655,1,3,540,59,0,0,0,0,0,0,0,0,0,0,0,0,1,104
45435,2135,2267,2139,2496,0,3,453,650,1,3,542,70,0,0,0,0,0,0,0,0,0,0,0,0,1,149
45503,2140,2283,2142,2501,0,3,456,645,1,3,543,83,0,0,0,0,0,0,0,0,0,0,0,0,1,139
45581,2145,2296,2144,2501,0,3,461,637,1,3,544,98,0,0,0,0,0,0,0,0,0,0,0,0,1,148
45656,2148,2307,2147,2497,0,3,470,625,1,3,544,115,0,0,0,0,0,0,0,0,0,0,0,0,1,114
45718,2152,2317,2148,2486,0,3,474,619,1,3,543,133,0,0,0,0,0,0,0,0,0,0,0,0,1,110
45789,2154,2326,2150,2465,0,3,479,613,1,3,543,151,0,0,0,0,0,0,0,0,0,0,0,0,1,102
45859,2157,2331,2149,2441,0,3,484,605,1,3,541,169,0,0,0,0,0,0,0,0,0,0,0,0,1,174
45930,2156,2331,2149,2412,0,3,490,597,1,3,541,186,0,0,0,0,0,0,0,0,0,0,0,0,1,110
46011,2154,2326,2147,2380,0,3,499,584,1,3,540,203,0,0,0,0,0,0,0,0,0,0,0,0,1,130
46071,2151,2313,2143,2345,0,3,508,561,1,3,540,231,0,0,0,0,0,0,0,0,0,0,0,0,1,177
46142,2141,2289,2137,2299,0,3,517,542,1,3,540,241,0,0,0,0,0,0,0,0,0,0,0,0,1,143
46211,2131,2259,2128,2253,0,3,523,526,1,3,540,246,0,0,0,0,0,0,0,0,0,0,0,0,1,129
46281,2115,2220,2113,2202,0,3,523,526,1,3,540,250,0,0,0,0,0,0,0,0,0,0,0,0,1,152
46359,2098,2178,2097,2146,0,3,523,526,1,3,540,254,0,0,0,0,0,0,0,0,0,0,0,0,1,163
46423,2082,2139,2082,2095,0,3,521,520,1,3,540,257,0,0,0,0,0,0,0,0,0,0,0,0,1,139
46492,2068,2102,2068,2052,0,3,516,510,1,3,539,262,0,0,0,0,0,0,0,0,0,0,0,0,1,109
46553,2053,2066,2054,2004,0,3,516,493,1,1,539,262,0,0,0,0,0,0,0,0,0,0,0,0,1,128
46622,2043,2038,2043,1970,0,1,516,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

,2042,2041,2042,2040
